Week,Description,Quantity,Sales,AvgUnitPrice,Orders
2009-11-30,ASSORTED COLOUR BIRD ORNAMENT,2023,3160.37,2.233953488372093,41
2009-12-07,ASSORTED COLOUR BIRD ORNAMENT,1213,2046.22,4.192413793103448,29
2009-12-14,ASSORTED COLOUR BIRD ORNAMENT,1324,2230.06,4.612424242424242,33
2009-12-21,ASSORTED COLOUR BIRD ORNAMENT,82,187.28,7.7775,4
2010-01-04,ASSORTED COLOUR BIRD ORNAMENT,168,283.91999999999996,1.69,9
2010-01-11,ASSORTED COLOUR BIRD ORNAMENT,233,536.5699999999999,4.49,17
2010-01-18,ASSORTED COLOUR BIRD ORNAMENT,897,1386.13,3.033529411764706,17
2010-01-25,ASSORTED COLOUR BIRD ORNAMENT,211,427.99,6.45,15
2010-02-01,ASSORTED COLOUR BIRD ORNAMENT,274,475.06,1.78375,16
2010-02-08,ASSORTED COLOUR BIRD ORNAMENT,512,788.48,1.6530769230769229,12
2010-02-15,ASSORTED COLOUR BIRD ORNAMENT,587,915.23,1.663333333333333,18
2010-02-22,ASSORTED COLOUR BIRD ORNAMENT,294,520.78,1.8473684210526315,19
2010-03-01,ASSORTED COLOUR BIRD ORNAMENT,735,1163.43,1.6623076923076923,26
2010-03-08,ASSORTED COLOUR BIRD ORNAMENT,917,1444.53,1.7103846153846154,26
2010-03-15,ASSORTED COLOUR BIRD ORNAMENT,551,1014.63,1.839,29
2010-03-22,ASSORTED COLOUR BIRD ORNAMENT,840,1118.8,1.7234482758620688,29
2010-03-29,ASSORTED COLOUR BIRD ORNAMENT,331,557.47,1.6780000000000002,20
2010-04-05,ASSORTED COLOUR BIRD ORNAMENT,736,1357.4399999999998,3.1475,15
2010-04-12,ASSORTED COLOUR BIRD ORNAMENT,653,1026.77,1.6722222222222223,25
2010-04-19,ASSORTED COLOUR BIRD ORNAMENT,504,870.0,1.785,24
2010-04-26,ASSORTED COLOUR BIRD ORNAMENT,919,1512.31,1.758108108108108,37
2010-05-03,ASSORTED COLOUR BIRD ORNAMENT,342,577.98,1.6900000000000002,20
2010-05-10,ASSORTED COLOUR BIRD ORNAMENT,923,1495.07,1.7229032258064516,29
2010-05-17,ASSORTED COLOUR BIRD ORNAMENT,283,478.27,1.69,20
2010-05-24,ASSORTED COLOUR BIRD ORNAMENT,560,932.0,1.7885714285714285,28
2010-05-31,ASSORTED COLOUR BIRD ORNAMENT,309,522.21,1.69,20
2010-06-07,ASSORTED COLOUR BIRD ORNAMENT,264,446.16,1.69,15
2010-06-14,ASSORTED COLOUR BIRD ORNAMENT,569,935.21,1.7530000000000001,20
2010-06-21,ASSORTED COLOUR BIRD ORNAMENT,252,449.88,1.8478947368421053,19
2010-06-28,ASSORTED COLOUR BIRD ORNAMENT,692,1071.56,1.6179999999999999,20
2010-07-05,ASSORTED COLOUR BIRD ORNAMENT,874,1385.86,1.622258064516129,30
2010-07-12,ASSORTED COLOUR BIRD ORNAMENT,400,673.6,1.903,20
2010-07-19,ASSORTED COLOUR BIRD ORNAMENT,1043,1678.1899999999998,1.666,30
2010-07-26,ASSORTED COLOUR BIRD ORNAMENT,621,1011.09,1.6785714285714286,21
2010-08-02,ASSORTED COLOUR BIRD ORNAMENT,648,1095.12,1.69,21
2010-08-09,ASSORTED COLOUR BIRD ORNAMENT,758,1156.7,1.7310526315789474,18
2010-08-16,ASSORTED COLOUR BIRD ORNAMENT,664,1057.36,1.7385714285714284,21
2010-08-23,ASSORTED COLOUR BIRD ORNAMENT,1000,1575.76,1.805,24
2010-08-30,ASSORTED COLOUR BIRD ORNAMENT,963,1562.67,1.7466666666666666,18
2010-09-06,ASSORTED COLOUR BIRD ORNAMENT,387,627.63,1.747272727272727,22
2010-09-13,ASSORTED COLOUR BIRD ORNAMENT,619,984.67,1.6722222222222223,27
2010-09-20,ASSORTED COLOUR BIRD ORNAMENT,1792,2829.76,1.741818181818182,43
2010-09-27,ASSORTED COLOUR BIRD ORNAMENT,773,1277.57,1.7251724137931035,28
2010-10-04,ASSORTED COLOUR BIRD ORNAMENT,753,1284.4099999999999,1.7957142857142858,28
2010-10-11,ASSORTED COLOUR BIRD ORNAMENT,2277,3476.1299999999997,1.6912765957446807,45
2010-10-18,ASSORTED COLOUR BIRD ORNAMENT,1736,2609.8399999999997,1.7264285714285712,28
2010-10-25,ASSORTED COLOUR BIRD ORNAMENT,1039,1741.51,1.7557142857142856,41
2010-11-01,ASSORTED COLOUR BIRD ORNAMENT,992,1599.68,1.679090909090909,44
