Week,Sales
2009-11-30,261557.65
2009-12-07,235163.27
2009-12-14,252939.64
2009-12-21,51788.28
2010-01-04,166347.32
2010-01-11,155895.97
2010-01-18,146453.331
2010-01-25,154210.201
2010-02-01,120644.75200000001
2010-02-08,87188.33
2010-02-15,171279.802
2010-02-22,160663.82200000001
2010-03-01,162380.63
2010-03-08,138479.94
2010-03-15,165209.721
2010-03-22,172309.81
2010-03-29,156150.75
2010-04-05,137610.98
2010-04-12,142496.601
2010-04-19,165452.6
2010-04-26,185831.781
2010-05-03,160505.95
2010-05-10,168713.33
2010-05-17,148868.61
2010-05-24,155505.51
2010-05-31,107165.94
2010-06-07,211332.5
2010-06-14,136442.29
2010-06-21,123359.77
2010-06-28,178849.96
2010-07-05,150904.39
2010-07-12,157138.35
2010-07-19,144972.02
2010-07-26,155541.06
2010-08-02,126270.1
2010-08-09,174162.31
2010-08-16,167401.11
2010-08-23,144711.22
2010-08-30,140126.97
2010-09-06,130237.6
2010-09-13,163198.061
2010-09-20,240218.81
2010-09-27,307302.62
2010-10-04,258130.86000000002
2010-10-11,309136.61
2010-10-18,242000.94
2010-10-25,213139.34
2010-11-01,283448.37
2010-11-08,370163.631
2010-11-15,347810.431
2010-11-22,297563.18
2010-11-29,499841.2
2010-12-06,529642.86
2010-12-13,209271.77
2010-12-20,85330.93
2011-01-03,130545.67
2011-01-10,187678.06
2011-01-17,209652.43
2011-01-24,121638.3
2011-01-31,121494.43000000001
2011-02-07,103757.97
2011-02-14,140752.03
2011-02-21,145543.66
2011-02-28,127802.35
2011-03-07,129187.14
2011-03-14,153949.36000000002
2011-03-21,145204.27
2011-03-28,186873.15
2011-04-04,123089.82
2011-04-11,146242.391
2011-04-18,138477.1
2011-04-25,83492.54
2011-05-02,137082.59
2011-05-09,204993.0
2011-05-16,210803.18
2011-05-23,159664.11
2011-05-30,115421.53
2011-06-06,214793.27
2011-06-13,186826.56
2011-06-20,127670.63
2011-06-27,135149.26
2011-07-04,170290.71
2011-07-11,132859.88
2011-07-18,188016.53
2011-07-25,179164.451
2011-08-01,168153.2
2011-08-08,169436.18
2011-08-15,173591.92
2011-08-22,161376.98
2011-08-29,146859.65
2011-09-05,187968.93
2011-09-12,224312.8
2011-09-19,329191.141
2011-09-26,206879.251
2011-10-03,311850.76
2011-10-10,222007.21
2011-10-17,265059.28
2011-10-24,243566.29
2011-10-31,294049.21
2011-11-07,358755.37
2011-11-14,374736.15
2011-11-21,303690.32
2011-11-28,310368.86
2011-12-05,484290.64
